tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
tt0283563;movie;Rakilikal;Rakilikal;0;2000;\N;\N;Musical;9.0;13
tt0283616;movie;Subterrain;Subterrain;0;2001;\N;47;Drama,Musical;5.9;15
tt0283832;movie;8 Women;8 femmes;0;2002;\N;111;Comedy,Crime,Musical;7.5;20
tt0284015;movie;Crachez vos souhaits - Louise attaque, le film...;Crachez vos souhaits - Louise attaque, le film...;0;2001;\N;86;Musical;8.3;302
tt0284229;movie;Karmen Gei;Karmen GeÃ¯;0;2001;\N;86;Drama,Musical,Romance;7.2;83
tt0284765;tvSeries;Night club;Night club;0;2001;2002;30;Comedy,Musical;7.8;279
tt0284783;tvMovie;Slava's Snowshow;Slava's Snowshow;0;2001;\N;56;Comedy,Musical;8.2;235
tt0285530;tvMovie;Dracula: A Chamber Musical;Dracula: A Chamber Musical;0;2000;\N;110;Drama,Musical;6.7;7
tt0285806;video;Nuncrackers;Nuncrackers;0;2001;\N;107;Comedy,Musical;7.3;19
tt0285958;movie;Pyaar Ishq Aur Mohabbat;Pyaar Ishq Aur Mohabbat;0;2001;\N;\N;Drama,Musical,Romance;8.1;7
tt0285993;movie;Rhythm;Rhythm;0;2000;\N;140;Drama,Musical,Romance;7.4;7
tt0286183;video;Destiny's Child: Survivor;Destiny's Child: Survivor;0;2001;\N;4;Music,Musical,Short;7.9;14
tt0286227;video;Tina Turner: One Last Time Live in Concert;Tina Turner: One Last Time Live in Concert;0;2000;\N;120;Documentary,Music,Musical;7.7;29
tt0287241;tvSeries;The Last Band on the Planet;The Last Band on the Planet;0;2001;\N;\N;Adventure,Comedy,Musical;5.1;8
tt0287927;movie;Aspects of Love;Aspects of Love;0;2005;\N;\N;Musical,Romance;7.2;11
tt0288441;video;Barbie in the Nutcracker;Barbie in the Nutcracker;0;2001;\N;76;Animation,Family,Musical;9.2;1169
tt0289319;movie;The Green March;La marcha verde;0;2002;\N;91;Comedy,Drama,Musical;6.1;14
tt0289673;tvMovie;By Jeeves;By Jeeves;0;2001;\N;120;Comedy,Musical;7.1;85
tt0290794;movie;One Night the Moon;One Night the Moon;0;2001;\N;57;Drama,Musical,Mystery;7.7;268
tt0290984;tvSeries;StarStreet;StarStreet;0;2001;\N;25;Family,Musical;7.2;5
tt0291067;short;Casiopea;Casiopea;0;2000;\N;16;Musical,Short;7.6;13
tt0291559;movie;Wave Twisters;Wave Twisters;0;2001;\N;46;Adventure,Animation,Musical;7.8;12
tt0292107;tvMovie;The Mikado;The Mikado;0;2001;\N;\N;Comedy,Musical;6.9;30
tt0292552;movie;Hum Ho Gaye Aap Ke;Hum Ho Gaye Aap Ke;0;2001;\N;168;Drama,Musical,Romance;6.3;66
tt0292726;short;Vertavo;Vertavo;0;2000;\N;11;Musical,Short;7.7;52
tt0293005;movie;Fancy Dancing;Fancy Dancing;0;2002;\N;91;Comedy,Musical;7.7;102
tt0293113;movie;Dracula: Pages from a Virgin's Diary;Dracula: Pages from a Virgin's Diary;0;2002;\N;73;Horror,Musical;7.3;116
tt0293508;movie;The Phantom of the Opera;The Phantom of the Opera;0;2004;\N;143;Drama,Musical,Romance;7.8;46
tt0293734;tvSeries;Oswald;Oswald;0;2001;2003;30;Animation,Family,Musical;7.9;48
tt0293895;movie;Para Para Sakura;Pa-la Pa-la ying ji fa;0;2001;\N;\N;Comedy,Drama,Musical;9.3;6
tt0294870;movie;Rent;Rent;0;2005;\N;135;Drama,Musical,Romance;7.4;22
tt0295703;video;Xuxa SÃ³ Para Baixinhos;Xuxa SÃ³ Para Baixinhos;0;2000;\N;\N;Family,Musical;7.3;18
tt0295704;video;Xuxa SÃ³ Para Baixinhos 2;Xuxa SÃ³ Para Baixinhos 2;0;2001;\N;\N;Family,Musical;8.3;13
tt0296099;movie;My Voice My Voice;Nha fala;0;2002;\N;110;Musical;7.2;40
tt0297398;movie;Silence... We're Rolling;Skoot hansawwar;0;2001;\N;102;Comedy,Drama,Musical;7.0;26
tt0297703;short;Adagio;Adazhio;0;2000;\N;10;Animation,Drama,Musical;5.3;10
tt0297832;movie;Cinta tiada restu;Cinta tiada restu;0;2001;\N;\N;Comedy,Musical,Romance;7.3;26
tt0298317;movie;On the Road to Emmaus;Emmauksen tiellÃ¤;0;2001;\N;80;Comedy,Musical;6.4;9
tt0298505;movie;Polaroid;Polaroid;0;2000;\N;96;Comedy,Musical;8.1;1043
tt0298514;movie;Ravanaprabhu;Ravanaprabhu;0;2001;\N;168;Action,Drama,Musical;7.5;995
tt0298776;video;Britney Spears Live and More!;Britney Spears Live and More!;0;2001;\N;78;Music,Musical;7.3;6
tt0298954;movie;Crying... Silicon Tears;To klama vgike ap' ton Paradeiso;0;2001;\N;110;Comedy,Musical;8.2;48
tt0299108;movie;Rehnaa Hai Terre Dil Mein;Rehnaa Hai Terre Dil Mein;0;2001;\N;160;Musical,Romance;7.5;227
tt0299658;movie;Chicago;Chicago;0;2002;\N;113;Comedy,Crime,Musical;7.4;7
